17:49:22 10/26/21.49.2021,834 urllib3.connectionpool DEBUG Starting new HTTPS connection (1): api.telegram.org:443
17:49:26 10/26/21.49.2021,492 urllib3.connectionpool DEBUG https://api.telegram.org:443 "GET /bot2041636212:AAHFm0lcYU2lyvvTEVJ0UxbaPaDpKomykqU/getUpdates?offset=1&timeout=20 HTTP/1.1" 409 143
17:49:26 10/26/21.49.2021,502 TeleBot ERROR A request to the Telegram API was unsuccessful. Error code: 409. Description: Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
17:49:30 10/26/21.49.2021,470 urllib3.connectionpool DEBUG https://api.telegram.org:443 "GET /bot2041636212:AAHFm0lcYU2lyvvTEVJ0UxbaPaDpKomykqU/getUpdates?offset=1&timeout=20 HTTP/1.1" 409 143
17:49:30 10/26/21.49.2021,472 TeleBot ERROR A request to the Telegram API was unsuccessful. Error code: 409. Description: Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
17:49:32 10/26/21.49.2021,908 schedule DEBUG Running job Job(interval=10, unit=seconds, do=send_message_from_server, args=(), kwargs={})
17:49:32 10/26/21.49.2021,916 urllib3.connectionpool DEBUG Starting new HTTP connection (1): 95.217.184.62:8080
17:49:33 10/26/21.49.2021,70 urllib3.connectionpool DEBUG http://95.217.184.62:8080 "GET /api/apartments/json HTTP/1.1" 200 None
17:49:35 10/26/21.49.2021,219 urllib3.connectionpool DEBUG https://api.telegram.org:443 "GET /bot2041636212:AAHFm0lcYU2lyvvTEVJ0UxbaPaDpKomykqU/getUpdates?offset=1&timeout=20 HTTP/1.1" 409 143
17:49:35 10/26/21.49.2021,222 TeleBot ERROR A request to the Telegram API was unsuccessful. Error code: 409. Description: Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
17:49:38 10/26/21.49.2021,352 urllib3.connectionpool DEBUG Starting new HTTPS connection (1): api.telegram.org:443
17:49:48 10/26/21.49.2021,451 schedule DEBUG Running job Job(interval=10, unit=seconds, do=send_message_from_server, args=(), kwargs={})
17:49:48 10/26/21.49.2021,459 urllib3.connectionpool DEBUG Starting new HTTP connection (1): 95.217.184.62:8080
17:49:48 10/26/21.49.2021,808 urllib3.connectionpool DEBUG http://95.217.184.62:8080 "GET /api/apartments/json HTTP/1.1" 200 None
17:49:57 10/26/21.49.2021,567 urllib3.connectionpool DEBUG https://api.telegram.org:443 "GET /bot2041636212:AAHFm0lcYU2lyvvTEVJ0UxbaPaDpKomykqU/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 358
17:49:57 10/26/21.49.2021,581 urllib3.connectionpool DEBUG Starting new HTTP connection (1): 95.217.184.62:8080
17:49:57 10/26/21.49.2021,716 urllib3.connectionpool DEBUG http://95.217.184.62:8080 "GET /api/user/412306507 HTTP/1.1" 404 0
